CompChangeID,EmployeeID,EffectiveDate,PreviousSalary,NewSalary,ChangeType,PercentChange
COMP00001,EMP00001,24-06-25,,114500,New Hire,
COMP00002,EMP00001,24-06-26,114500,118000,Annual Merit Increase,3
COMP00003,EMP00002,03-03-24,,92500,New Hire,
COMP00004,EMP00002,03-03-25,92500,94500,Annual Merit Increase,2.1
COMP00005,EMP00002,16-03-26,94500,99000,Annual Merit Increase,4.9
COMP00006,EMP00003,24-07-26,,179000,New Hire,
COMP00007,EMP00004,17-01-26,,67000,New Hire,
COMP00008,EMP00005,05-06-26,,149000,New Hire,
COMP00009,EMP00006,20-05-26,,71000,New Hire,
COMP00010,EMP00007,21-08-25,,85000,New Hire,
COMP00011,EMP00008,08-05-26,,76500,New Hire,
COMP00012,EMP00009,26-08-23,,192000,New Hire,
COMP00013,EMP00009,25-08-24,192000,196500,Annual Merit Increase,2.3
COMP00014,EMP00009,29-11-25,196500,218000,Promotion,10.9
COMP00015,EMP00010,14-04-24,,90000,New Hire,
COMP00016,EMP00010,14-04-25,90000,95000,Annual Merit Increase,5.7
COMP00017,EMP00010,02-04-26,95000,98000,Annual Merit Increase,3
COMP00018,EMP00011,04-02-23,,79500,New Hire,
COMP00019,EMP00011,04-02-24,79500,90500,Promotion,13.6
COMP00020,EMP00011,04-12-24,90500,94000,Annual Merit Increase,3.9
COMP00021,EMP00011,14-10-25,94000,98500,Annual Merit Increase,4.6
COMP00022,EMP00012,11-10-24,,90500,New Hire,
COMP00023,EMP00012,11-10-25,90500,93500,Annual Merit Increase,3.6
COMP00024,EMP00013,20-01-25,,52500,New Hire,
COMP00025,EMP00014,15-08-24,,59500,New Hire,
COMP00026,EMP00014,15-08-25,59500,61500,Annual Merit Increase,3.3
COMP00027,EMP00015,19-03-26,,130500,New Hire,
COMP00028,EMP00016,07-11-24,,79500,New Hire,
COMP00029,EMP00016,07-11-25,79500,82500,Annual Merit Increase,3.6
COMP00030,EMP00017,19-08-24,,82500,New Hire,
COMP00031,EMP00017,19-08-25,82500,85500,Annual Merit Increase,3.4
COMP00032,EMP00018,28-06-25,,159500,New Hire,
COMP00033,EMP00018,28-06-26,159500,167000,Annual Merit Increase,4.7
COMP00034,EMP00019,19-01-24,,85500,New Hire,
COMP00035,EMP00019,18-01-25,85500,88000,Annual Merit Increase,2.9
COMP00036,EMP00019,01-01-26,88000,93500,Annual Merit Increase,6
COMP00037,EMP00020,11-02-26,,82500,New Hire,
COMP00038,EMP00021,26-06-23,,81500,New Hire,
COMP00039,EMP00021,25-06-24,81500,84000,Annual Merit Increase,3.3
