CandidateID,RequisitionID,Department,JobTitle,JobLevel,ApplicationDate,SourceChannel,HighestStageReached,Hired,EmployeeID,ApplicationToHireDays
CAND00001,REQ00001,Engineering,Software Engineer II,Mid-Level,01-06-25,Referral,Hired,Yes,EMP00001,23
CAND00002,REQ00001,Engineering,Software Engineer II,Mid-Level,06-06-25,Recruiting Agency,Offer Extended,No,,
CAND00003,REQ00001,Engineering,Software Engineer II,Mid-Level,10-06-25,Job Board,Skills Assessment,No,,
CAND00004,REQ00001,Engineering,Software Engineer II,Mid-Level,29-05-25,Company Careers Site,Offer Extended,No,,
CAND00005,REQ00001,Engineering,Software Engineer II,Mid-Level,02-06-25,Job Board,Hired,No,,
CAND00006,REQ00001,Engineering,Software Engineer II,Mid-Level,10-06-25,LinkedIn,Withdrew,No,,
CAND00007,REQ00001,Engineering,Software Engineer II,Mid-Level,10-06-25,LinkedIn,Applied,No,,
CAND00008,REQ00001,Engineering,Software Engineer II,Mid-Level,01-06-25,Company Careers Site,Skills Assessment,No,,
CAND00009,REQ00002,Legal,Paralegal,Mid-Level,31-01-24,Referral,Hired,Yes,EMP00002,32
CAND00010,REQ00002,Legal,Paralegal,Mid-Level,28-01-24,LinkedIn,Phone Screen,No,,
CAND00011,REQ00002,Legal,Paralegal,Mid-Level,09-02-24,University Recruiting,Offer Extended,No,,
CAND00012,REQ00002,Legal,Paralegal,Mid-Level,01-02-24,,Hired,No,,
CAND00013,REQ00002,Legal,Paralegal,Mid-Level,05-02-24,Company Careers Site,Phone Screen,No,,
CAND00014,REQ00002,Legal,Paralegal,Mid-Level,28-01-24,LinkedIn,Withdrew,No,,
CAND00015,REQ00002,Legal,Paralegal,Mid-Level,01-02-24,Referral,Phone Screen,No,,
CAND00016,REQ00003,Sales,Senior Sales Manager,Senior Manager,23-06-26,Referral,Hired,Yes,EMP00003,31
CAND00017,REQ00003,Sales,Senior Sales Manager,Senior Manager,30-06-26,Company Careers Site,Applied,No,,
CAND00018,REQ00003,Sales,Senior Sales Manager,Senior Manager,26-06-26,Job Board,Onsite Interview,No,,
CAND00019,REQ00003,Sales,Senior Sales Manager,Senior Manager,23-06-26,Job Board,Hired,No,,
CAND00020,REQ00003,Sales,Senior Sales Manager,Senior Manager,23-06-26,Company Careers Site,Hired,No,,
CAND00021,REQ00003,Sales,Senior Sales Manager,Senior Manager,01-07-26,University Recruiting,Offer Extended,No,,
CAND00022,REQ00004,People,HR Coordinator,Entry-Level,12-12-25,Referral,Hired,Yes,EMP00004,36
CAND00023,REQ00004,People,HR Coordinator,Entry-Level,07-12-25,Referral,Offer Extended,No,,
CAND00024,REQ00004,People,HR Coordinator,Entry-Level,16-12-25,Company Careers Site,Phone Screen,No,,
CAND00025,REQ00004,People,HR Coordinator,Entry-Level,07-12-25,Job Board,Skills Assessment,No,,
CAND00026,REQ00004,People,HR Coordinator,Entry-Level,06-12-25,Job Board,Phone Screen,No,,
CAND00027,REQ00004,People,HR Coordinator,Entry-Level,16-12-25,LinkedIn,Onsite Interview,No,,
CAND00028,REQ00004,People,HR Coordinator,Entry-Level,11-12-25,Recruiting Agency,Phone Screen,No,,
CAND00029,REQ00004,People,HR Coordinator,Entry-Level,16-12-25,Recruiting Agency,Applied,No,,
CAND00030,REQ00004,People,HR Coordinator,Entry-Level,16-12-25,Job Board,Applied,No,,
CAND00031,REQ00005,Engineering,Senior Software Engineer,Senior,14-05-26,Referral,Hired,Yes,EMP00005,22
CAND00032,REQ00005,Engineering,Senior Software Engineer,Senior,15-05-26,LinkedIn,Applied,No,,
CAND00033,REQ00005,Engineering,Senior Software Engineer,Senior,10-05-26,Job Board,Phone Screen,No,,
CAND00034,REQ00005,Engineering,Senior Software Engineer,Senior,13-05-26,LinkedIn,Applied,No,,
CAND00035,REQ00005,Engineering,Senior Software Engineer,Senior,13-05-26,Company Careers Site,Phone Screen,No,,
CAND00036,REQ00006,Sales,Sales Development Rep,Entry-Level,18-04-26,University Recruiting,Hired,Yes,EMP00006,32
CAND00037,REQ00006,Sales,Sales Development Rep,Entry-Level,17-04-26,LinkedIn,Withdrew,No,,
CAND00038,REQ00006,Sales,Sales Development Rep,Entry-Level,09-04-26,LinkedIn,Offer Extended,No,,
CAND00039,REQ00006,Sales,Sales Development Rep,Entry-Level,11-04-26,LinkedIn,Withdrew,No,,
CAND00040,REQ00006,Sales,Sales Development Rep,Entry-Level,21-04-26,Referral,Hired,No,,
CAND00041,REQ00006,Sales,Sales Development Rep,Entry-Level,20-04-26,Job Board,Phone Screen,No,,
CAND00042,REQ00007,Marketing,Marketing Specialist,Mid-Level,16-07-25,Referral,Hired,Yes,EMP00007,36
CAND00043,REQ00007,Marketing,Marketing Specialist,Mid-Level,13-07-25,Job Board,Skills Assessment,No,,
CAND00044,REQ00007,Marketing,Marketing Specialist,Mid-Level,17-07-25,Job Board,Withdrew,No,,
CAND00045,REQ00007,Marketing,Marketing Specialist,Mid-Level,14-07-25,Company Careers Site,Skills Assessment,No,,
CAND00046,REQ00007,Marketing,Marketing Specialist,Mid-Level,08-07-25,Company Careers Site,Skills Assessment,No,,
CAND00047,REQ00007,Marketing,Marketing Specialist,Mid-Level,25-07-25,LinkedIn,Phone Screen,No,,
CAND00048,REQ00007,Marketing,Marketing Specialist,Mid-Level,20-07-25,Job Board,Phone Screen,No,,
CAND00049,REQ00007,Marketing,Marketing Specialist,Mid-Level,20-07-25,Recruiting Agency,Withdrew,No,,
CAND00050,REQ00008,Finance,Financial Analyst II,Mid-Level,08-04-26,Recruiting Agency,Hired,Yes,EMP00008,30
CAND00051,REQ00008,Finance,Financial Analyst II,Mid-Level,05-04-26,Job Board,Onsite Interview,No,,
CAND00052,REQ00008,Finance,Financial Analyst II,Mid-Level,01-04-26,LinkedIn,Applied,No,,
CAND00053,REQ00008,Finance,Financial Analyst II,Mid-Level,15-04-26,LinkedIn,Onsite Interview,No,,
CAND00054,REQ00009,Product,Senior Group PM,Senior Manager,19-07-23,LinkedIn,Hired,Yes,EMP00009,38
CAND00055,REQ00009,Product,Senior Group PM,Senior Manager,28-07-23,Recruiting Agency,Applied,No,,
CAND00056,REQ00009,Product,Senior Group PM,Senior Manager,28-07-23,LinkedIn,Withdrew,No,,
CAND00057,REQ00009,Product,Senior Group PM,Senior Manager,18-07-23,Company Careers Site,Skills Assessment,No,,
CAND00058,REQ00009,Product,Senior Group PM,Senior Manager,20-07-23,Referral,Skills Assessment,No,,
CAND00059,REQ00009,Product,Senior Group PM,Senior Manager,16-07-23,LinkedIn,Onsite Interview,No,,
CAND00060,REQ00009,Product,Senior Group PM,Senior Manager,20-07-23,LinkedIn,Withdrew,No,,
CAND00061,REQ00009,Product,Senior Group PM,Senior Manager,14-07-23,Job Board,Hired,No,,
CAND00062,REQ00010,Customer Success,Customer Success Manager,Mid-Level,12-03-24,University Recruiting,Hired,Yes,EMP00010,33
CAND00063,REQ00010,Customer Success,Customer Success Manager,Mid-Level,18-03-24,Job Board,Skills Assessment,No,,
CAND00064,REQ00010,Customer Success,Customer Success Manager,Mid-Level,04-03-24,University Recruiting,Phone Screen,No,,
CAND00065,REQ00011,Sales,Sales Development Rep,Entry-Level,20-01-23,Referral,Hired,Yes,EMP00011,15
CAND00066,REQ00011,Sales,Sales Development Rep,Entry-Level,21-01-23,Recruiting Agency,Applied,No,,
CAND00067,REQ00011,Sales,Sales Development Rep,Entry-Level,18-01-23,Company Careers Site,Applied,No,,
CAND00068,REQ00011,Sales,Sales Development Rep,Entry-Level,11-01-23,Company Careers Site,Applied,No,,
CAND00069,REQ00011,Sales,Sales Development Rep,Entry-Level,16-01-23,Company Careers Site,Phone Screen,No,,
CAND00070,REQ00011,Sales,Sales Development Rep,Entry-Level,15-01-23,Referral,Offer Extended,No,,
CAND00071,REQ00011,Sales,Sales Development Rep,Entry-Level,14-01-23,Recruiting Agency,Applied,No,,
CAND00072,REQ00012,Engineering,Software Engineer II,Mid-Level,14-09-24,Recruiting Agency,Hired,Yes,EMP00012,27
CAND00073,REQ00012,Engineering,Software Engineer II,Mid-Level,11-09-24,Company Careers Site,Withdrew,No,,
CAND00074,REQ00012,Engineering,Software Engineer II,Mid-Level,09-09-24,Recruiting Agency,Skills Assessment,No,,
CAND00075,REQ00012,Engineering,Software Engineer II,Mid-Level,08-09-24,Referral,Phone Screen,No,,
CAND00076,REQ00012,Engineering,Software Engineer II,Mid-Level,16-09-24,University Recruiting,Applied,No,,
CAND00077,REQ00013,Customer Success,Support Associate,Entry-Level,28-12-24,Referral,Hired,Yes,EMP00013,23
CAND00078,REQ00013,Customer Success,Support Associate,Entry-Level,02-01-25,LinkedIn,Applied,No,,
CAND00079,REQ00013,Customer Success,Support Associate,Entry-Level,01-01-25,Company Careers Site,Skills Assessment,No,,
CAND00080,REQ00013,Customer Success,Support Associate,Entry-Level,01-01-25,LinkedIn,Skills Assessment,No,,
