CompChangeID,EmployeeID,EffectiveDate,PreviousSalary,NewSalary,ChangeType,PercentChange
COMP00001,EMP00001,2025-06-24,,114500,New Hire,
COMP00002,EMP00001,2026-06-24,114500.0,118000,Annual Merit Increase,3.0
COMP00003,EMP00002,2024-03-03,,92500,New Hire,
COMP00004,EMP00002,2025-03-03,92500.0,94500,Annual Merit Increase,2.1
COMP00005,EMP00002,2026-03-16,94500.0,99000,Annual Merit Increase,4.9
COMP00006,EMP00003,2026-07-24,,179000,New Hire,
COMP00007,EMP00004,2026-01-17,,67000,New Hire,
COMP00008,EMP00005,2026-06-05,,149000,New Hire,
COMP00009,EMP00006,2026-05-20,,71000,New Hire,
COMP00010,EMP00007,2025-08-21,,85000,New Hire,
COMP00011,EMP00008,2026-05-08,,76500,New Hire,
COMP00012,EMP00009,2023-08-26,,192000,New Hire,
COMP00013,EMP00009,2024-08-25,192000.0,196500,Annual Merit Increase,2.3
COMP00014,EMP00009,2025-11-29,196500.0,218000,Promotion,10.9
COMP00015,EMP00010,2024-04-14,,90000,New Hire,
COMP00016,EMP00010,2025-04-14,90000.0,95000,Annual Merit Increase,5.7
COMP00017,EMP00010,2026-04-02,95000.0,98000,Annual Merit Increase,3.0
COMP00018,EMP00011,2023-02-04,,79500,New Hire,
COMP00019,EMP00011,2024-02-04,79500.0,90500,Promotion,13.6
COMP00020,EMP00011,2024-12-04,90500.0,94000,Annual Merit Increase,3.9
COMP00021,EMP00011,2025-10-14,94000.0,98500,Annual Merit Increase,4.6
COMP00022,EMP00012,2024-10-11,,90500,New Hire,
COMP00023,EMP00012,2025-10-11,90500.0,93500,Annual Merit Increase,3.6
COMP00024,EMP00013,2025-01-20,,52500,New Hire,
COMP00025,EMP00014,2024-08-15,,59500,New Hire,
COMP00026,EMP00014,2025-08-15,59500.0,61500,Annual Merit Increase,3.3
COMP00027,EMP00015,2026-03-19,,130500,New Hire,
COMP00028,EMP00016,2024-11-07,,79500,New Hire,
COMP00029,EMP00016,2025-11-07,79500.0,82500,Annual Merit Increase,3.6
COMP00030,EMP00017,2024-08-19,,82500,New Hire,
COMP00031,EMP00017,2025-08-19,82500.0,85500,Annual Merit Increase,3.4
COMP00032,EMP00018,2025-06-28,,159500,New Hire,
COMP00033,EMP00018,2026-06-28,159500.0,167000,Annual Merit Increase,4.7
COMP00034,EMP00019,2024-01-19,,85500,New Hire,
COMP00035,EMP00019,2025-01-18,85500.0,88000,Annual Merit Increase,2.9
COMP00036,EMP00019,2026-01-01,88000.0,93500,Annual Merit Increase,6.0
COMP00037,EMP00020,2026-02-11,,82500,New Hire,
COMP00038,EMP00021,2023-06-26,,81500,New Hire,
COMP00039,EMP00021,2024-06-25,81500.0,84000,Annual Merit Increase,3.3
COMP00040,EMP00021,2025-07-17,84000.0,87000,Annual Merit Increase,3.7
COMP00041,EMP00022,2026-07-05,,154000,New Hire,
COMP00042,EMP00023,2026-01-05,,92500,New Hire,
COMP00043,EMP00024,2024-04-22,,86000,New Hire,
COMP00044,EMP00025,2022-09-08,,69000,New Hire,
COMP00045,EMP00025,2023-09-08,69000.0,73000,Annual Merit Increase,5.7
COMP00046,EMP00026,2026-03-10,,121500,New Hire,
COMP00047,EMP00027,2025-11-06,,79000,New Hire,
COMP00048,EMP00028,2025-12-15,,102000,New Hire,
COMP00049,EMP00029,2026-01-16,,142500,New Hire,
COMP00050,EMP00030,2023-06-28,,105500,New Hire,
COMP00051,EMP00030,2024-06-27,105500.0,107500,Annual Merit Increase,2.0
COMP00052,EMP00031,2024-11-17,,102500,New Hire,
COMP00053,EMP00031,2025-11-17,102500.0,105500,Annual Merit Increase,2.8
COMP00054,EMP00032,2023-11-08,,76500,New Hire,
COMP00055,EMP00033,2026-04-08,,85000,New Hire,
COMP00056,EMP00034,2025-09-25,,53000,New Hire,
COMP00057,EMP00035,2024-10-09,,61500,New Hire,
COMP00058,EMP00035,2025-10-09,61500.0,63000,Annual Merit Increase,2.5
COMP00059,EMP00036,2023-04-02,,208500,New Hire,
COMP00060,EMP00036,2024-04-01,208500.0,214500,Annual Merit Increase,2.8
COMP00061,EMP00037,2024-09-15,,293500,New Hire,
COMP00062,EMP00037,2025-09-15,293500.0,309000,Annual Merit Increase,5.2
COMP00063,EMP00038,2024-10-18,,89000,New Hire,
COMP00064,EMP00038,2025-10-18,89000.0,93000,Annual Merit Increase,4.6
COMP00065,EMP00039,2025-12-03,,129500,New Hire,
COMP00066,EMP00040,2025-09-17,,141000,New Hire,
COMP00067,EMP00041,2026-05-04,,85500,New Hire,
COMP00068,EMP00042,2025-04-04,,134000,New Hire,
COMP00069,EMP00042,2026-04-04,134000.0,142000,Annual Merit Increase,5.8
COMP00070,EMP00043,2023-12-14,,62500,New Hire,
COMP00071,EMP00044,2025-12-09,,122000,New Hire,
COMP00072,EMP00045,2026-01-09,,175500,New Hire,
COMP00073,EMP00046,2025-07-25,,153000,New Hire,
COMP00074,EMP00047,2026-01-26,,121000,New Hire,
COMP00075,EMP00048,2025-05-23,,70500,New Hire,
COMP00076,EMP00049,2025-06-18,,98000,New Hire,
COMP00077,EMP00049,2026-06-18,98000.0,103500,Annual Merit Increase,5.6
COMP00078,EMP00050,2025-02-10,,123000,New Hire,
