CandidateID,RequisitionID,Department,JobTitle,JobLevel,ApplicationDate,SourceChannel,HighestStageReached,Hired,EmployeeID,ApplicationToHireDays
CAND00001,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-01,Referral,Hired,Yes,EMP00001,23.0
CAND00002,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-06,Recruiting Agency,Offer Extended,No,,
CAND00003,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-10,Job Board,Skills Assessment,No,,
CAND00004,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-05-29,Company Careers Site,Offer Extended,No,,
CAND00005,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-02,Job Board,Hired,No,,
CAND00006,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-10,LinkedIn,Withdrew,No,,
CAND00007,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-10,LinkedIn,Applied,No,,
CAND00008,REQ00001,Engineering,Software Engineer II,Mid-Level,2025-06-01,Company Careers Site,Skills Assessment,No,,
CAND00009,REQ00002,Legal,Paralegal,Mid-Level,2024-01-31,Referral,Hired,Yes,EMP00002,32.0
CAND00010,REQ00002,Legal,Paralegal,Mid-Level,2024-01-28,LinkedIn,Phone Screen,No,,
CAND00011,REQ00002,Legal,Paralegal,Mid-Level,2024-02-09,University Recruiting,Offer Extended,No,,
CAND00012,REQ00002,Legal,Paralegal,Mid-Level,2024-02-01,,Hired,No,,
CAND00013,REQ00002,Legal,Paralegal,Mid-Level,2024-02-05,Company Careers Site,Phone Screen,No,,
CAND00014,REQ00002,Legal,Paralegal,Mid-Level,2024-01-28,LinkedIn,Withdrew,No,,
CAND00015,REQ00002,Legal,Paralegal,Mid-Level,2024-02-01,Referral,Phone Screen,No,,
CAND00016,REQ00003,Sales,Senior Sales Manager,Senior Manager,2026-06-23,Referral,Hired,Yes,EMP00003,31.0
CAND00017,REQ00003,Sales,Senior Sales Manager,Senior Manager,2026-06-30,Company Careers Site,Applied,No,,
CAND00018,REQ00003,Sales,Senior Sales Manager,Senior Manager,2026-06-26,Job Board,Onsite Interview,No,,
CAND00019,REQ00003,Sales,Senior Sales Manager,Senior Manager,2026-06-23,Job Board,Hired,No,,
CAND00020,REQ00003,Sales,Senior Sales Manager,Senior Manager,2026-06-23,Company Careers Site,Hired,No,,
CAND00021,REQ00003,Sales,Senior Sales Manager,Senior Manager,2026-07-01,University Recruiting,Offer Extended,No,,
CAND00022,REQ00004,People,HR Coordinator,Entry-Level,2025-12-12,Referral,Hired,Yes,EMP00004,36.0
CAND00023,REQ00004,People,HR Coordinator,Entry-Level,2025-12-07,Referral,Offer Extended,No,,
CAND00024,REQ00004,People,HR Coordinator,Entry-Level,2025-12-16,Company Careers Site,Phone Screen,No,,
CAND00025,REQ00004,People,HR Coordinator,Entry-Level,2025-12-07,Job Board,Skills Assessment,No,,
CAND00026,REQ00004,People,HR Coordinator,Entry-Level,2025-12-06,Job Board,Phone Screen,No,,
CAND00027,REQ00004,People,HR Coordinator,Entry-Level,2025-12-16,LinkedIn,Onsite Interview,No,,
CAND00028,REQ00004,People,HR Coordinator,Entry-Level,2025-12-11,Recruiting Agency,Phone Screen,No,,
CAND00029,REQ00004,People,HR Coordinator,Entry-Level,2025-12-16,Recruiting Agency,Applied,No,,
CAND00030,REQ00004,People,HR Coordinator,Entry-Level,2025-12-16,Job Board,Applied,No,,
CAND00031,REQ00005,Engineering,Senior Software Engineer,Senior,2026-05-14,Referral,Hired,Yes,EMP00005,22.0
CAND00032,REQ00005,Engineering,Senior Software Engineer,Senior,2026-05-15,LinkedIn,Applied,No,,
CAND00033,REQ00005,Engineering,Senior Software Engineer,Senior,2026-05-10,Job Board,Phone Screen,No,,
CAND00034,REQ00005,Engineering,Senior Software Engineer,Senior,2026-05-13,LinkedIn,Applied,No,,
CAND00035,REQ00005,Engineering,Senior Software Engineer,Senior,2026-05-13,Company Careers Site,Phone Screen,No,,
CAND00036,REQ00006,Sales,Sales Development Rep,Entry-Level,2026-04-18,University Recruiting,Hired,Yes,EMP00006,32.0
CAND00037,REQ00006,Sales,Sales Development Rep,Entry-Level,2026-04-17,LinkedIn,Withdrew,No,,
CAND00038,REQ00006,Sales,Sales Development Rep,Entry-Level,2026-04-09,LinkedIn,Offer Extended,No,,
CAND00039,REQ00006,Sales,Sales Development Rep,Entry-Level,2026-04-11,LinkedIn,Withdrew,No,,
CAND00040,REQ00006,Sales,Sales Development Rep,Entry-Level,2026-04-21,Referral,Hired,No,,
CAND00041,REQ00006,Sales,Sales Development Rep,Entry-Level,2026-04-20,Job Board,Phone Screen,No,,
CAND00042,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-16,Referral,Hired,Yes,EMP00007,36.0
CAND00043,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-13,Job Board,Skills Assessment,No,,
CAND00044,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-17,Job Board,Withdrew,No,,
CAND00045,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-14,Company Careers Site,Skills Assessment,No,,
CAND00046,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-08,Company Careers Site,Skills Assessment,No,,
CAND00047,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-25,LinkedIn,Phone Screen,No,,
CAND00048,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-20,Job Board,Phone Screen,No,,
CAND00049,REQ00007,Marketing,Marketing Specialist,Mid-Level,2025-07-20,Recruiting Agency,Withdrew,No,,
CAND00050,REQ00008,Finance,Financial Analyst II,Mid-Level,2026-04-08,Recruiting Agency,Hired,Yes,EMP00008,30.0
CAND00051,REQ00008,Finance,Financial Analyst II,Mid-Level,2026-04-05,Job Board,Onsite Interview,No,,
CAND00052,REQ00008,Finance,Financial Analyst II,Mid-Level,2026-04-01,LinkedIn,Applied,No,,
CAND00053,REQ00008,Finance,Financial Analyst II,Mid-Level,2026-04-15,LinkedIn,Onsite Interview,No,,
CAND00054,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-19,LinkedIn,Hired,Yes,EMP00009,38.0
CAND00055,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-28,Recruiting Agency,Applied,No,,
CAND00056,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-28,LinkedIn,Withdrew,No,,
CAND00057,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-18,Company Careers Site,Skills Assessment,No,,
CAND00058,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-20,Referral,Skills Assessment,No,,
CAND00059,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-16,LinkedIn,Onsite Interview,No,,
CAND00060,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-20,LinkedIn,Withdrew,No,,
CAND00061,REQ00009,Product,Senior Group PM,Senior Manager,2023-07-14,Job Board,Hired,No,,
CAND00062,REQ00010,Customer Success,Customer Success Manager,Mid-Level,2024-03-12,University Recruiting,Hired,Yes,EMP00010,33.0
CAND00063,REQ00010,Customer Success,Customer Success Manager,Mid-Level,2024-03-18,Job Board,Skills Assessment,No,,
CAND00064,REQ00010,Customer Success,Customer Success Manager,Mid-Level,2024-03-04,University Recruiting,Phone Screen,No,,
CAND00065,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-20,Referral,Hired,Yes,EMP00011,15.0
CAND00066,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-21,Recruiting Agency,Applied,No,,
CAND00067,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-18,Company Careers Site,Applied,No,,
CAND00068,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-11,Company Careers Site,Applied,No,,
CAND00069,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-16,Company Careers Site,Phone Screen,No,,
CAND00070,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-15,Referral,Offer Extended,No,,
CAND00071,REQ00011,Sales,Sales Development Rep,Entry-Level,2023-01-14,Recruiting Agency,Applied,No,,
CAND00072,REQ00012,Engineering,Software Engineer II,Mid-Level,2024-09-14,Recruiting Agency,Hired,Yes,EMP00012,27.0
CAND00073,REQ00012,Engineering,Software Engineer II,Mid-Level,2024-09-11,Company Careers Site,Withdrew,No,,
CAND00074,REQ00012,Engineering,Software Engineer II,Mid-Level,2024-09-09,Recruiting Agency,Skills Assessment,No,,
CAND00075,REQ00012,Engineering,Software Engineer II,Mid-Level,2024-09-08,Referral,Phone Screen,No,,
CAND00076,REQ00012,Engineering,Software Engineer II,Mid-Level,2024-09-16,University Recruiting,Applied,No,,
CAND00077,REQ00013,Customer Success,Support Associate,Entry-Level,2024-12-28,Referral,Hired,Yes,EMP00013,23.0
CAND00078,REQ00013,Customer Success,Support Associate,Entry-Level,2025-01-02,LinkedIn,Applied,No,,
CAND00079,REQ00013,Customer Success,Support Associate,Entry-Level,2025-01-01,Company Careers Site,Skills Assessment,No,,
CAND00080,REQ00013,Customer Success,Support Associate,Entry-Level,2025-01-01,LinkedIn,Skills Assessment,No,,
CAND00081,REQ00013,CUSTOMER SUCCESS,Support Associate,Entry-Level,2025-01-04,LinkedIn,Phone Screen,No,,
CAND00082,REQ00013,Customer Success,Support Associate,Entry-Level,2024-12-22,Job Board,Applied,No,,
CAND00083,REQ00013,Customer Success,Support Associate,Entry-Level,2024-12-28,Company Careers Site,Withdrew,No,,
CAND00084,REQ00014,Customer Success,Support Associate,Entry-Level,2024-07-15,,Hired,Yes,EMP00014,31.0
CAND00085,REQ00014,Customer Success,Support Associate,Entry-Level,2024-07-15,University Recruiting,Onsite Interview,No,,
CAND00086,REQ00014,Customer Success,Support Associate,Entry-Level,2024-07-23,Job Board,Onsite Interview,No,,
CAND00087,REQ00014,Customer Success,Support Associate,Entry-Level,2024-07-09,Company Careers Site,Applied,No,,
CAND00088,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-24,Referral,Hired,Yes,EMP00015,23.0
CAND00089,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-14,University Recruiting,Applied,No,,
CAND00090,REQ00015,Finance,Senior Financial Analyst,Senior,2026-03-04,Job Board,Applied,No,,
CAND00091,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-18,Job Board,Withdrew,No,,
CAND00092,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-15,Referral,Skills Assessment,No,,
CAND00093,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-15,LinkedIn,Skills Assessment,No,,
CAND00094,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-24,Company Careers Site,Applied,No,,
CAND00095,REQ00015,Finance,Senior Financial Analyst,Senior,2026-03-02,Referral,Offer Extended,No,,
CAND00096,REQ00015,Finance,Senior Financial Analyst,Senior,2026-02-27,Referral,Offer Extended,No,,
CAND00097,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-10-05,Referral,Hired,Yes,EMP00016,33.0
CAND00098,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-09-29,LinkedIn,Skills Assessment,No,,
CAND00099,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-09-29,Company Careers Site,Phone Screen,No,,
CAND00100,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-10-13,Job Board,Skills Assessment,No,,
CAND00101,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-10-03,Referral,Skills Assessment,No,,
CAND00102,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-10-07,LinkedIn,Phone Screen,No,,
CAND00103,REQ00016,Sales,Sales Development Rep,Entry-Level,2024-09-26,University Recruiting,Onsite Interview,No,,
CAND00104,REQ00017,Engineering,Software Engineer I,Entry-Level,2024-07-20,LinkedIn,Hired,Yes,EMP00017,30.0
CAND00105,REQ00017,Engineering,Software Engineer I,Entry-Level,2024-07-16,LinkedIn,Phone Screen,No,,
CAND00106,REQ00017,Engineering,Software Engineer I,Entry-Level,2024-07-24,Job Board,Skills Assessment,No,,
CAND00107,REQ00018,Engineering,Senior Software Engineer,Senior,2025-06-21,Recruiting Agency,Hired,Yes,EMP00018,7.0
CAND00108,REQ00018,ENGINEERING,Senior Software Engineer,Senior,2025-06-28,LinkedIn,Onsite Interview,No,,
CAND00109,REQ00018,Engineering,Senior Software Engineer,Senior,2025-06-14,Referral,Skills Assessment,No,,
CAND00110,REQ00018,Engineering,Senior Software Engineer,Senior,2025-06-14,Company Careers Site,Hired,No,,
CAND00111,REQ00018,Engineering,Senior Software Engineer,Senior,2025-06-30,,Onsite Interview,No,,
CAND00112,REQ00018,Engineering,Senior Software Engineer,Senior,2025-06-21,LinkedIn,Skills Assessment,No,,
CAND00113,REQ00018,Engineering,Senior Software Engineer,Senior,2025-06-19,LinkedIn,Withdrew,No,,
CAND00114,REQ00018,ENGINEERING,Senior Software Engineer,Senior,2025-06-29,,Withdrew,No,,
CAND00115,REQ00019,Design,Product Designer,Mid-Level,2023-12-07,University Recruiting,Hired,Yes,EMP00019,43.0
CAND00116,REQ00019,Design,Product Designer,Mid-Level,2023-12-04,LinkedIn,Phone Screen,No,,
CAND00117,REQ00019,DESIGN,Product Designer,Mid-Level,2023-12-02,Job Board,Withdrew,No,,
CAND00118,REQ00019,Design,Product Designer,Mid-Level,2023-11-30,Referral,Withdrew,No,,
CAND00119,REQ00019,Design,Product Designer,Mid-Level,2023-12-12,LinkedIn,Applied,No,,
CAND00120,REQ00020,Engineering,Software Engineer I,Entry-Level,2026-01-26,Job Board,Hired,Yes,EMP00020,16.0
CAND00121,REQ00020,Engineering,Software Engineer I,Entry-Level,2026-01-22,Recruiting Agency,Skills Assessment,No,,
CAND00122,REQ00020,Engineering,Software Engineer I,Entry-Level,2026-01-28,Recruiting Agency,Phone Screen,No,,
CAND00123,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-05-31,Company Careers Site,Hired,Yes,EMP00021,26.0
CAND00124,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-05-30,LinkedIn,Applied,No,,
CAND00125,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-06-04,Company Careers Site,Withdrew,No,,
CAND00126,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-06-05,Company Careers Site,Phone Screen,No,,
CAND00127,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-05-24,Job Board,Withdrew,No,,
CAND00128,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-05-26,Recruiting Agency,Phone Screen,No,,
CAND00129,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-06-02,Job Board,Withdrew,No,,
CAND00130,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-05-21,Job Board,Offer Extended,No,,
CAND00131,REQ00021,Customer Success,Customer Success Manager,Mid-Level,2023-06-08,,Onsite Interview,No,,
CAND00132,REQ00022,Product,Senior Product Manager,Senior,2026-05-26,LinkedIn,Hired,Yes,EMP00022,40.0
CAND00133,REQ00022,Product,Senior Product Manager,Senior,2026-06-04,University Recruiting,Withdrew,No,,
CAND00134,REQ00022,Product,Senior Product Manager,Senior,2026-06-01,,Applied,No,,
CAND00135,REQ00022,Product,Senior Product Manager,Senior,2026-05-28,Job Board,Applied,No,,
CAND00136,REQ00022,Product,Senior Product Manager,Senior,2026-05-20,Company Careers Site,Offer Extended,No,,
CAND00137,REQ00022,Product,Senior Product Manager,Senior,2026-05-27,Job Board,Applied,No,,
CAND00138,REQ00022,Product,Senior Product Manager,Senior,2026-06-01,LinkedIn,Onsite Interview,No,,
CAND00139,REQ00022,Product,Senior Product Manager,Senior,2026-06-03,,Skills Assessment,No,,
CAND00140,REQ00022,Product,Senior Product Manager,Senior,2026-05-16,Job Board,Skills Assessment,No,,
CAND00141,REQ00023,Finance,Financial Analyst II,Mid-Level,2025-12-17,Referral,Hired,Yes,EMP00023,19.0
