ReviewID,EmployeeID,ReviewPeriod,ReviewDate,PerformanceRating,GoalCompletionPct,PromotionRecommended
REV00001,EMP00001,2025-H2,2025-12-23,3.4,67.3,No
REV00002,EMP00001,2026-H1,2026-06-16,4.0,69.5,No
REV00003,EMP00002,2024-H2,2024-09-01,3.8,63.5,No
REV00004,EMP00002,2025-H1,2025-04-03,3.3,53.8,No
REV00005,EMP00002,2025-H2,2025-09-28,3.7,78.9,No
REV00006,EMP00002,2026-H1,2026-05-22,3.3,59.1,No
REV00007,EMP00004,2026-H2,2026-07-18,3.0,61.4,No
REV00008,EMP00007,2026-H1,2026-02-19,2.6,44.4,No
REV00009,EMP00009,2024-H1,2024-02-24,4.3,86.8,No
REV00010,EMP00009,2024-H2,2024-09-28,4.4,72.4,Yes
REV00011,EMP00009,2025-H1,2025-04-21,4.8,75.9,No
REV00012,EMP00009,2025-H2,2025-10-21,4.2,65.9,No
REV00013,EMP00009,2026-H1,2026-06-15,4.9,85.5,Yes
REV00014,EMP00010,2024-H2,2024-10-13,3.9,74.3,No
REV00015,EMP00010,2025-H1,2025-05-04,3.9,71.6,No
REV00016,EMP00010,2025-H2,2025-11-07,3.2,52.1,No
REV00017,EMP00010,2026-H1,2026-05-02,3.3,63.7,No
REV00018,EMP00011,2023-H2,2023-08-05,3.7,64.8,No
REV00019,EMP00011,2024-H1,2024-01-21,3.2,62.5,No
REV00020,EMP00011,2024-H2,2024-08-14,3.3,52.6,No
REV00021,EMP00011,2025-H1,2025-03-12,3.9,75.3,No
REV00022,EMP00011,2025-H2,2025-10-15,3.0,60.5,No
REV00023,EMP00011,2026-H1,2026-04-24,3.5,61.8,No
REV00024,EMP00012,2025-H1,2025-04-11,3.5,53.7,No
REV00025,EMP00012,2025-H2,2025-10-24,3.6,57.6,No
REV00026,EMP00012,2026-H1,2026-04-20,2.9,67.7,No
REV00027,EMP00014,2025-H1,2025-02-13,3.2,61.4,No
REV00028,EMP00014,2025-H2,2025-08-22,3.2,52.5,No
REV00029,EMP00016,2025-H1,2025-05-08,2.7,35.9,No
REV00030,EMP00016,2025-H2,2025-10-31,2.3,30.0,No
REV00031,EMP00016,2026-H1,2026-04-29,2.8,35.6,No
REV00032,EMP00017,2025-H1,2025-02-17,3.3,52.3,No
REV00033,EMP00017,2025-H2,2025-08-29,3.2,63.8,No
REV00034,EMP00017,2026-H1,2026-03-04,2.5,39.7,No
REV00035,EMP00018,2025-H2,2025-12-27,3.6,54.8,No
REV00036,EMP00019,2024-H2,2024-07-19,2.5,35.2,No
REV00037,EMP00019,2025-H1,2025-01-10,2.0,31.6,No
REV00038,EMP00019,2025-H2,2025-08-03,1.9,37.1,No
REV00039,EMP00019,2026-H1,2026-03-19,2.3,47.2,No
REV00040,EMP00021,2023-H2,2023-12-25,3.2,63.3,No
REV00041,EMP00021,2024-H2,2024-07-29,3.4,58.0,No
REV00042,EMP00021,2025-H1,2025-01-14,4.0,84.2,No
REV00043,EMP00021,2025-H2,2025-07-20,4.3,85.4,No
REV00044,EMP00023,2026-H2,2026-07-06,4.2,75.5,No
REV00045,EMP00024,2024-H2,2024-10-21,4.3,71.4,No
REV00046,EMP00025,2023-H1,2023-03-09,3.2,66.5,No
REV00047,EMP00025,2023-H2,2023-09-15,2.5,58.1,No
REV00048,EMP00028,2026-H1,2026-06-15,3.2,43.4,No
REV00049,EMP00030,2023-H2,2023-12-27,3.0,58.7,No
REV00050,EMP00030,2024-H2,2024-08-12,4.0,78.5,No
REV00051,EMP00031,2025-H1,2025-05-18,3.8,67.0,No
REV00052,EMP00031,2025-H2,2025-11-23,3.1,47.8,No
REV00053,EMP00031,2026-H1,2026-05-11,3.0,57.7,No
REV00054,EMP00034,2026-H1,2026-03-26,3.3,68.4,No
REV00055,EMP00035,2025-H1,2025-04-09,2.7,50.8,No
REV00056,EMP00035,2025-H2,2025-09-22,3.9,76.6,No
REV00057,EMP00035,2026-H1,2026-05-09,3.5,68.8,No
REV00058,EMP00036,2023-H2,2023-10-01,3.4,63.9,No
REV00059,EMP00036,2024-H1,2024-05-10,3.1,40.0,No
REV00060,EMP00036,2024-H2,2024-10-24,3.1,47.8,No
REV00061,EMP00037,2025-H1,2025-03-16,1.9,38.5,No
REV00062,EMP00037,2025-H2,2025-10-05,1.4,38.6,No
REV00063,EMP00037,2026-H1,2026-04-05,2.1,41.1,No
REV00064,EMP00038,2025-H1,2025-04-18,4.5,77.1,Yes
REV00065,EMP00038,2025-H2,2025-11-18,3.8,69.1,No
REV00066,EMP00038,2026-H1,2026-05-03,4.7,95.0,Yes
REV00067,EMP00039,2026-H1,2026-06-03,3.4,51.9,No
REV00068,EMP00042,2025-H2,2025-10-03,3.4,68.8,No
REV00069,EMP00042,2026-H1,2026-05-15,3.3,58.7,No
REV00070,EMP00044,2026-H1,2026-06-09,3.6,57.9,No
REV00071,EMP00045,2026-H2,2026-07-10,3.8,63.9,No
REV00072,EMP00046,2026-H1,2026-01-23,3.3,59.3,No
REV00073,EMP00047,2026-H2,2026-07-27,5.0,98.6,No
REV00074,EMP00049,2025-H2,2025-12-17,3.8,74.1,No
REV00075,EMP00050,2025-H2,2025-08-11,1.8,30.0,No
REV00076,EMP00050,2026-H1,2026-03-06,1.5,30.0,No
REV00077,EMP00051,2023-H1,2023-06-21,4.4,71.0,Yes
REV00078,EMP00051,2024-H1,2024-01-12,4.2,62.8,No
REV00079,EMP00051,2024-H2,2024-08-27,3.7,56.5,No
